,date,scheduled_flights,tracked_flights,code,name,lon,lat
0,2020-05-02,2,1,YXX,Abbotsford International Airport,-122.360001,49.025269
1,2020-05-03,3,2,YXX,Abbotsford International Airport,-122.360001,49.025269
2,2020-05-04,4,3,YXX,Abbotsford International Airport,-122.360001,49.025269
3,2020-05-05,3,3,YXX,Abbotsford International Airport,-122.360001,49.025269
4,2020-05-06,1,1,YXX,Abbotsford International Airport,-122.360001,49.025269
5,2020-05-07,3,3,YXX,Abbotsford International Airport,-122.360001,49.025269
6,2020-05-08,2,2,YXX,Abbotsford International Airport,-122.360001,49.025269
7,2020-05-09,1,1,YXX,Abbotsford International Airport,-122.360001,49.025269
8,2020-05-10,2,2,YXX,Abbotsford International Airport,-122.360001,49.025269
9,2020-05-11,7,2,YXX,Abbotsford International Airport,-122.360001,49.025269
10,2020-05-12,8,2,YXX,Abbotsford International Airport,-122.360001,49.025269
11,2020-05-13,7,2,YXX,Abbotsford International Airport,-122.360001,49.025269
12,2020-05-14,7,2,YXX,Abbotsford International Airport,-122.360001,49.025269
13,2020-05-15,11,5,YXX,Abbotsford International Airport,-122.360001,49.025269
14,2020-05-16,2,2,YXX,Abbotsford International Airport,-122.360001,49.025269
15,2020-05-17,2,2,YXX,Abbotsford International Airport,-122.360001,49.025269
16,2020-05-18,8,3,YXX,Abbotsford International Airport,-122.360001,49.025269
17,2020-05-19,7,1,YXX,Abbotsford International Airport,-122.360001,49.025269
18,2020-05-20,7,2,YXX,Abbotsford International Airport,-122.360001,49.025269
19,2020-05-21,9,3,YXX,Abbotsford International Airport,-122.360001,49.025269
20,2020-05-22,7,2,YXX,Abbotsford International Airport,-122.360001,49.025269
21,2020-05-23,1,1,YXX,Abbotsford International Airport,-122.360001,49.025269
22,2020-05-24,2,2,YXX,Abbotsford International Airport,-122.360001,49.025269
23,2020-05-25,7,2,YXX,Abbotsford International Airport,-122.360001,49.025269
24,2020-05-26,11,6,YXX,Abbotsford International Airport,-122.360001,49.025269
25,2020-05-27,10,5,YXX,Abbotsford International Airport,-122.360001,49.025269
26,2020-05-28,12,6,YXX,Abbotsford International Airport,-122.360001,49.025269
27,2020-05-29,9,4,YXX,Abbotsford International Airport,-122.360001,49.025269
28,2020-05-30,2,2,YXX,Abbotsford International Airport,-122.360001,49.025269
29,2020-05-31,3,3,YXX,Abbotsford International Airport,-122.360001,49.025269
30,2020-05-02,0,0,YTF,Alma Airport,-71.642715,48.509655
31,2020-05-03,0,0,YTF,Alma Airport,-71.642715,48.509655
32,2020-05-04,0,0,YTF,Alma Airport,-71.642715,48.509655
33,2020-05-05,0,0,YTF,Alma Airport,-71.642715,48.509655
34,2020-05-06,1,1,YTF,Alma Airport,-71.642715,48.509655
35,2020-05-07,0,0,YTF,Alma Airport,-71.642715,48.509655
36,2020-05-08,0,0,YTF,Alma Airport,-71.642715,48.509655
37,2020-05-09,0,0,YTF,Alma Airport,-71.642715,48.509655
38,2020-05-10,0,0,YTF,Alma Airport,-71.642715,48.509655
39,2020-05-11,1,1,YTF,Alma Airport,-71.642715,48.509655
40,2020-05-12,1,1,YTF,Alma Airport,-71.642715,48.509655
41,2020-05-13,0,0,YTF,Alma Airport,-71.642715,48.509655
42,2020-05-14,0,0,YTF,Alma Airport,-71.642715,48.509655
43,2020-05-15,0,0,YTF,Alma Airport,-71.642715,48.509655
44,2020-05-16,0,0,YTF,Alma Airport,-71.642715,48.509655
45,2020-05-17,0,0,YTF,Alma Airport,-71.642715,48.509655
46,2020-05-18,0,0,YTF,Alma Airport,-71.642715,48.509655
47,2020-05-19,0,0,YTF,Alma Airport,-71.642715,48.509655
48,2020-05-20,1,1,YTF,Alma Airport,-71.642715,48.509655
49,2020-05-21,0,0,YTF,Alma Airport,-71.642715,48.509655
50,2020-05-22,2,1,YTF,Alma Airport,-71.642715,48.509655
51,2020-05-23,0,0,YTF,Alma Airport,-71.642715,48.509655
52,2020-05-24,0,0,YTF,Alma Airport,-71.642715,48.509655
53,2020-05-25,0,0,YTF,Alma Airport,-71.642715,48.509655
54,2020-05-26,1,1,YTF,Alma Airport,-71.642715,48.509655
55,2020-05-27,0,0,YTF,Alma Airport,-71.642715,48.509655
56,2020-05-28,0,0,YTF,Alma Airport,-71.642715,48.509655
