,index,registration,aircraft_type,serial_No,age,company
0,1,C-FYJI,Airbus A319-114,0682,22,Air Canada
1,2,C-FYKC,Airbus A319-114,0691,22,Air Canada
2,3,C-FYKR,Airbus A319-114,0693,22,Air Canada
3,4,C-FZUH,Airbus A319-114,0711,22,Air Canada
4,5,C-FZUJ,Airbus A319-114,0719,22,Air Canada
5,6,C-FZUL,Airbus A319-114,0721,22,Air Canada
6,7,C-GAPY,Airbus A319-114,0728,22,Air Canada
7,8,C-GAQL,Airbus A319-114,0732,22,Air Canada
8,9,C-GAQX,Airbus A319-114,0736,22,Air Canada
9,10,C-GAQZ,Airbus A319-114,0740,22,Air Canada
10,11,C-GARG,Airbus A319-114,0742,22,Air Canada
11,12,C-GBHM,Airbus A319-114,0769,22,Air Canada
12,13,C-GBHN,Airbus A319-114,0773,22,Air Canada
13,14,C-GBIA,Airbus A319-114,0817,22,Air Canada
14,15,C-GBIK,Airbus A319-114,0831,21,Air Canada
15,16,C-GBIP,Airbus A319-114,0546,24,Air Canada
16,18,C-FDCA,Airbus A320-211,0232,28,Air Canada
17,19,C-FDRK,Airbus A320-211,0084,30,Air Canada
18,20,C-FDRP,Airbus A320-211,0122,29,Air Canada
19,21,C-FDSN,Airbus A320-211,0126,29,Air Canada
20,22,C-FDST,Airbus A320-211,0127,29,Air Canada
21,23,C-FDSU,Airbus A320-211,0141,29,Air Canada
22,24,C-FFWI,Airbus A320-211,0149,29,Air Canada
23,25,C-FFWM,Airbus A320-211,0154,29,Air Canada
24,26,C-FGJI,Airbus A320-214,1787,17,Air Canada
25,27,C-FGKH,Airbus A320-214,1975,17,Air Canada
26,28,C-FGYL,Airbus A320-211,0254,28,Air Canada
27,29,C-FGYS,Airbus A320-211,0255,28,Air Canada
28,30,C-FKCK,Airbus A320-211,0265,28,Air Canada
29,31,C-FKCO,Airbus A320-211,0277,28,Air Canada
30,32,C-FKCR,Airbus A320-211,0290,28,Air Canada
31,33,C-FKOJ,Airbus A320-211,0330,27,Air Canada
32,34,C-FKPT,Airbus A320-211,0324,28,Air Canada
33,35,C-FLSS,Airbus A320-211,0284,28,Air Canada
34,36,C-FLSU,Airbus A320-211,0309,28,Air Canada
35,37,C-FMSX,Airbus A320-211,0378,27,Air Canada
36,38,C-FNVU,Airbus A320-211,0403,27,Air Canada
37,39,C-FNVV,Airbus A320-211,0404,27,Air Canada
38,40,C-FPDN,Airbus A320-211,0341,27,Air Canada
39,41,C-FPWD,Airbus A320-211,0231,28,Air Canada
40,42,C-FTJO,Airbus A320-211,0183,29,Air Canada
41,43,C-FTJQ,Airbus A320-211,0242,28,Air Canada
42,44,C-FTJR,Airbus A320-211,0248,28,Air Canada
43,45,C-FTJS,Airbus A320-211,0253,28,Air Canada
44,46,C-FXCD,Airbus A320-214,2018,16,Air Canada
45,47,C-FZQS,Airbus A320-214,2145,16,Air Canada
46,48,C-FZUB,Airbus A320-214,1940,17,Air Canada
47,49,C-GJVT,Airbus A320-214,1719,18,Air Canada
48,50,C-GKOD,Airbus A320-214,1864,17,Air Canada
49,51,C-GKOE,Airbus A320-214,1874,17,Air Canada
50,52,C-GPWG,Airbus A320-211,0174,29,Air Canada
51,53,C-GQCA,Airbus A320-211,0210,28,Air Canada
52,55,C-FGKN,Airbus A321-211,3051,13,Air Canada
53,56,C-FGKP,Airbus A321-211,3884,10,Air Canada
54,57,C-FGKZ,Airbus A321-211,3401,12,Air Canada
55,58,C-FJNX,Airbus A321-211,1691,18,Air Canada
56,59,C-FLKX,Airbus A321-211,1299,19,Air Canada
57,60,C-GITU,Airbus A321-211,1602,18,Air Canada
58,61,C-GITY,Airbus A321-211,1611,18,Air Canada
59,62,C-GIUB,Airbus A321-211,1623,18,Air Canada
60,63,C-GIUE,Airbus A321-211,1632,18,Air Canada
61,64,C-GIUF,Airbus A321-211,1638,18,Air Canada
62,65,C-GJVX,Airbus A321-211,1726,18,Air Canada
63,66,C-GJWD,Airbus A321-211,1748,17,Air Canada
64,67,C-GJWI,Airbus A321-211,1772,17,Air Canada
65,68,C-GJWN,Airbus A321-211,1783,17,Air Canada
66,69,C-GJWO,Airbus A321-211,1811,17,Air Canada
67,71,C-GEFA,Airbus A330-343,0997,11,Air Canada
68,72,C-GEGC,Airbus A330-343,1006,11,Air Canada
69,73,C-GEGI,Airbus A330-343,1012,10,Air Canada
70,74,C-GEGP,Airbus A330-343,1015,10,Air Canada
71,75,C-GFAF,Airbus A330-343,0277,20,Air Canada
72,76,C-GFAH,Airbus A330-343,0279,20,Air Canada
73,77,C-GFAJ,Airbus A330-343,0284,20,Air Canada
74,78,C-GFUR,Airbus A330-343,0344,19,Air Canada
75,79,C-GHKR,Airbus A330-343,0400,19,Air Canada
76,80,C-GHKW,Airbus A330-343,0408,18,Air Canada
77,81,C-GHKX,Airbus A330-343,0412,18,Air Canada
78,82,C-GHLM,Airbus A330-343,0419,18,Air Canada
79,83,C-GKUG,Airbus A330-343,1149,9,Air Canada
80,84,C-GKUH,Airbus A330-343,1156,9,Air Canada
81,85,C-GOFW,Airbus A330-343,1485,6,Air Canada
82,87,C-FSCY,Boeing 737 MAX 8,61208,2,Air Canada
83,88,C-FSDB,Boeing 737 MAX 8,61210,2,Air Canada
84,89,C-FSDQ,Boeing 737 MAX 8,61209,2,Air Canada
85,90,C-FSDW,Boeing 737 MAX 8,61212,2,Air Canada
86,91,C-FSEQ,Boeing 737 MAX 8,61211,2,Air Canada
87,92,C-FSES,Boeing 737 MAX 8,61213,2,Air Canada
88,93,C-FSIL,Boeing 737 MAX 8,61214,2,Air Canada
89,94,C-FSIP,Boeing 737 MAX 8,61215,2,Air Canada
90,95,C-FSIQ,Boeing 737 MAX 8,61216,2,Air Canada
91,96,C-FSJH,Boeing 737 MAX 8,61218,2,Air Canada
92,97,C-FSJJ,Boeing 737 MAX 8,61217,1,Air Canada
93,98,C-FSKZ,Boeing 737 MAX 8,61219,1,Air Canada
94,99,C-FSLU,Boeing 737 MAX 8,61221,1,Air Canada
95,100,C-FSNQ,Boeing 737 MAX 8,61222,1,Air Canada
96,101,C-FSNU,Boeing 737 MAX 8,61220,1,Air Canada
97,102,C-FSOC,Boeing 737 MAX 8,61224,1,Air Canada
98,103,C-FSOI,Boeing 737 MAX 8,61223,1,Air Canada
99,104,C-FTJV,Boeing 737 MAX 8,61207,2,Air Canada
100,105,C-GEHI,Boeing 737 MAX 8,61225,1,Air Canada
101,106,C-GEHQ,Boeing 737 MAX 8,61226,1,Air Canada
