name,province,region,population,latitude,longtitude,distance_to_service_center,marine,rail_way,air,road,year_round_surface_access,avg_time_isolation,local_food_stores,southern_suppliers_nnc,electricity_rates
Granville Lake,Manitoba,Northern Manitoba,16 (2011 Census Data),56.3825704,-100.487384,114 km by air from Thompson; short fly-in from Lynn Lake which has road access, Summer access, no, Year-round , Snowmobile access,No,9 months,N/A,Not eligible for NNC,"August 2011
							Provincial off-grid average: $0.36/kwh
							Source: N/A"
Black Tickle,Newfoundland and Labrador,Labrador,168 (2011 Census Data),53.3333431,-55.785,235 km by air from St. Anthony, Seasonal access, no, Year-round ,no,No,8 months,"L&K Enterprise
							T&S Variety",4,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Hopedale,Newfoundland and Labrador,Labrador,556 (2011 Census Data),55.4588608,-60.2233509,230 km by air from Happy Valley-Goose Bay, Seasonal access, no, Year-round ,no,No,8 months,"Labrador Investment/Big Land Grocery (registered)
							DJ's Gift Shop",4,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Makkovik,Newfoundland and Labrador,Labrador,361 (2011 Census Data),55.0897901,-59.1819625,210 km by air from Happy Valley-Goose Bay, Seasonal access, no, Year-round ,no,No,8 months,Labrador Investment/Bigland Grocery (registered) Skipper Gil's,4,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Nain,Newfoundland and Labrador,Labrador,"1,188 (2011 Census Data)",56.5295706,-61.7567419,370 km by air from Happy Valley-Goose Bay, Seasonal access, no, Year-round ,no,No,8 months,"North West Company (registered)
							Labrador Investment/ Big Land Grocery (registered)
							Jacquie D's",4,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Natuashish,Newfoundland and Labrador,Labrador,931 (2011 Census Data),55.9166721,-61.1291175,300 km by air from Happy Valley-Goose Bay, Seasonal access, no, Year-round ,no,No,8 months,Mushuau General Store,4,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Postville,Newfoundland and Labrador,Labrador,206 (2011 Census Data),54.9082463,-59.7780029,180 km by air from Happy Valley-Goose Bay, Seasonal access, no, Year-round ,no,No,8 months,Sheppard's Variety,4,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Rigolet,Newfoundland and Labrador,Labrador,306 (2011 Census Data),54.1789602,-58.4340702,160 km by air from Happy Valley-Goose Bay, Seasonal access, no, Year-round ,no,No,8 months,North West Company (registered),4,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Williams Harbour,Newfoundland and Labrador,Labrador,18 (2011 Census Data),52.5585076,-55.766665,132 km by air from St. Anthony, Seasonal access, no, Year-round ,no,No,8 months,"Larkham's Store
							Russell Freeman and Sons Ltd",Not eligible for NNC,"August 2011
							Provincial off-grid average: $0.14/kwh
							Source: Diesel"
Lutsel K'e,Northwest Territories,Great Slave Lake,295 (2011 Census Data),62.3901831,-110.6772028,310 km from Yellowknife, Summer access, no, Year-round , No,No,11 months,Lutsel K'e Coop,1,"April 2015
							Commercial: $0.5277/kwh
							Domestic (Subsidized): $0.2853-0.62/kwh
							Source: Diesel"
Paulatuk,Northwest Territories,Beaufort Delta,313 (2011 Census Data),69.3284537,-123.991291,885 km northwest of Yellowknife and 402 km east of Inuvik by air, Summer access, no, Year-round , No,No,11 months,North West Company (registered),2,"April 2015
							Commercial: $0.5277/kwh
							Domestic (Subsidized): $0.2853-0.62/kwh
							Source: Diesel"
Sachs Harbour,Northwest Territories,Beaufort Delta,112 (2011 Census Data),71.9868753,-125.2664833,523 km northeast of Inuvik and 885 km northwest of Yellowknife by air, Summer access, no, Year-round , No,No,11 months,Arctic Co-operatives Ltd (registered),2,"April 2015
							Commercial: $0.5277/kwh
							Domestic (Subsidized): $0.2853-0.62/kwh
							Source: Diesel"
Ulukhaktok (Holman),Northwest Territories,Beaufort Delta,402 (2011 Census Data),70.7338648,-117.7550333,667 km east of Inuvik and 932 km north of Yellowknife by air, Summer access, no, Year-round , No,No,11 months,"North West Company (registered)
							Arctic Co-operatives Ltd (registered)",2,"April 2015
							Commercial: $0.5277/kwh
							Domestic (Subsidized): $0.2853-0.62/kwh
							Source: Diesel"
Arctic Bay,Nunavut,Baffin,823 (2011 Census Data),73.0521178,-85.1867191,1672 km from Yellowknife and 3118 km from Ottawa by air, Summer access, no, Year-round , No,No,11 months,"North West Company (registered)
							Arctic Co-operatives Ltd (registered)",9,"May 2015
							Commercial: $0.7897/kwh
							Domestic:$0.8787/kwh
							Source: Diesel"
Arviat,Nunavut,Kivalliq,"2,318 (2011 Census Data)",61.0893243,-94.1215829,"260 km north of Churchill,
							630 km north of Thompson and 1,263 km
							north of Winnipeg by air", Summer access, no, Year-round , No,No,11 months,"North West Company (registered)
							Arctic Co-operatives Ltd (registered)
							Eskimo Point Lumber Supply (registered)",8,"May 2015
							Commercial: $0.7403/kwh
							Domestic:$0.7914/kwh
							Source: Diesel"
Baker Lake,Nunavut,Kivalliq,"1,872 (2011 Census Data)",64.3282985,-96.0141897,"320 km inland from Hudson Bay; 1,607 km from Winnipeg,
							960 km from Thompson by air", Summer access, no, Year-round , No,No,11 months,"North West Company (registered)
							Arctic Co-operatives Ltd (registered)
							Baker Lake 1st Cdn Foods",8,"May 2015
							Commercial: $0.6609/kwh
							Domestic:$0.7031/kwh
							Source: Diesel"
